freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.635e+01,2.808e+02,3.930e+02,7.102e+02
1.6,3.813e+01,1.724e+02,2.613e+02,4.718e+02
3.2,2.500e+01,4.141e+01,5.615e+01,1.226e+02
4.8,2.396e+01,4.454e+02,5.302e+01,5.223e+02
6.4,2.563e+01,1.389e+03,5.532e+01,1.470e+03
8.0,2.520e+01,2.308e+03,5.500e+01,2.388e+03
9.6,2.608e+01,3.416e+03,5.806e+01,3.500e+03
11.2,2.800e+01,4.767e+03,6.041e+01,4.856e+03
12.7,2.763e+01,6.560e+03,7.084e+01,6.658e+03
14.3,2.627e+01,8.844e+03,1.033e+02,8.974e+03
15.9,2.999e+01,1.151e+04,1.783e+02,1.172e+04
17.5,3.456e+01,1.487e+04,3.025e+02,1.521e+04
19.1,3.825e+01,1.930e+04,4.691e+02,1.981e+04
20.7,4.385e+01,2.502e+04,8.103e+02,2.588e+04
22.3,9.648e+01,3.284e+04,1.583e+03,3.452e+04
23.9,4.090e+02,4.303e+04,3.179e+03,4.661e+04
25.5,1.119e+03,5.514e+04,6.480e+03,6.274e+04
27.1,2.017e+03,6.931e+04,1.397e+04,8.530e+04
28.7,2.437e+03,6.996e+04,1.830e+04,9.070e+04
30.3,2.333e+03,6.800e+04,1.673e+04,8.706e+04
31.9,2.637e+03,7.771e+04,1.635e+04,9.669e+04
33.5,3.771e+03,1.042e+05,2.165e+04,1.296e+05
35.0,7.213e+03,1.802e+05,5.325e+04,2.406e+05
36.6,1.787e+04,3.999e+05,2.738e+05,6.915e+05
38.2,3.891e+04,6.726e+05,8.666e+05,1.578e+06
39.8,3.527e+04,6.265e+05,9.456e+05,1.607e+06
41.4,1.752e+04,3.155e+05,5.748e+05,9.079e+05
43.0,2.550e+04,1.018e+05,3.989e+05,5.262e+05
44.6,4.617e+04,6.243e+04,3.892e+05,4.977e+05
46.2,5.913e+04,9.413e+04,4.308e+05,5.840e+05
47.8,8.658e+04,1.781e+05,4.468e+05,7.115e+05
49.4,8.879e+04,1.758e+05,3.756e+05,6.402e+05
51.0,5.970e+04,9.685e+04,3.665e+05,5.230e+05
52.6,4.274e+04,7.220e+04,3.590e+05,4.740e+05
54.2,3.323e+04,6.734e+04,3.632e+05,4.637e+05
55.8,2.619e+04,7.105e+04,3.672e+05,4.644e+05
57.4,2.037e+04,7.111e+04,3.509e+05,4.424e+05
58.9,1.552e+04,6.357e+04,3.075e+05,3.866e+05
60.5,9.865e+03,5.615e+04,2.296e+05,2.956e+05
62.1,5.390e+03,5.057e+04,1.498e+05,2.058e+05
63.7,3.364e+03,4.520e+04,9.239e+04,1.410e+05
65.3,3.996e+03,4.052e+04,6.307e+04,1.076e+05
66.9,7.814e+03,3.739e+04,7.476e+04,1.200e+05
68.5,1.311e+04,3.407e+04,1.290e+05,1.762e+05
70.1,1.998e+04,3.710e+04,2.203e+05,2.773e+05
71.7,2.624e+04,4.559e+04,3.152e+05,3.870e+05
73.3,2.970e+04,4.876e+04,3.504e+05,4.289e+05
74.9,2.871e+04,4.968e+04,3.254e+05,4.038e+05
76.5,2.621e+04,5.324e+04,2.436e+05,3.230e+05
78.1,3.964e+04,5.739e+04,1.647e+05,2.618e+05
79.7,4.680e+04,5.737e+04,1.198e+05,2.239e+05
81.3,1.827e+04,4.752e+04,9.331e+04,1.591e+05
82.8,1.024e+04,4.094e+04,7.275e+04,1.239e+05
84.4,6.481e+03,3.671e+04,6.160e+04,1.048e+05
86.0,4.179e+03,3.338e+04,5.355e+04,9.111e+04
87.6,3.626e+03,3.028e+04,4.699e+04,8.089e+04
89.2,3.988e+03,2.732e+04,4.131e+04,7.262e+04
90.8,4.738e+03,2.451e+04,3.740e+04,6.665e+04
92.4,4.645e+03,2.183e+04,3.328e+04,5.976e+04
94.0,4.433e+03,1.995e+04,2.847e+04,5.285e+04
95.6,4.697e+03,1.884e+04,2.526e+04,4.880e+04
97.2,4.938e+03,1.763e+04,2.350e+04,4.607e+04
98.8,2.898e+03,1.633e+04,2.115e+04,4.038e+04
100.4,1.595e+03,1.585e+04,2.199e+04,3.944e+04
102.0,1.245e+03,1.528e+04,2.251e+04,3.904e+04
103.6,1.619e+03,1.482e+04,2.238e+04,3.882e+04
105.1,1.594e+03,1.429e+04,2.135e+04,3.724e+04
106.7,1.539e+03,1.366e+04,2.089e+04,3.608e+04
108.3,1.914e+03,1.272e+04,2.237e+04,3.700e+04
109.9,2.445e+03,1.159e+04,2.660e+04,4.063e+04
111.5,3.134e+03,1.078e+04,3.436e+04,4.827e+04
113.1,3.661e+03,9.924e+03,4.462e+04,5.821e+04
114.7,3.713e+03,9.150e+03,5.161e+04,6.447e+04
116.3,3.023e+03,8.635e+03,4.355e+04,5.520e+04
117.9,2.094e+03,8.055e+03,2.566e+04,3.581e+04
119.5,1.638e+03,7.612e+03,1.271e+04,2.196e+04
121.1,1.284e+03,6.626e+03,1.509e+04,2.300e+04
122.7,1.065e+03,5.393e+03,1.426e+04,2.072e+04
124.3,9.535e+02,5.201e+03,1.008e+04,1.624e+04
125.9,1.291e+03,5.643e+03,8.305e+03,1.524e+04
127.5,1.538e+03,5.849e+03,6.924e+03,1.431e+04
129.0,1.825e+03,5.971e+03,6.002e+03,1.380e+04
130.6,2.006e+03,6.014e+03,5.477e+03,1.350e+04
132.2,2.076e+03,5.140e+03,5.207e+03,1.242e+04
133.8,2.375e+03,3.044e+03,5.184e+03,1.060e+04
135.4,3.064e+03,2.314e+03,5.480e+03,1.086e+04
137.0,2.148e+03,1.967e+03,4.564e+03,8.678e+03
138.6,1.800e+03,1.734e+03,4.170e+03,7.704e+03
140.2,1.761e+03,1.624e+03,3.718e+03,7.103e+03
141.8,1.871e+03,1.645e+03,3.196e+03,6.712e+03
143.4,1.948e+03,1.766e+03,2.946e+03,6.660e+03
145.0,2.162e+03,1.984e+03,3.174e+03,7.321e+03
146.6,1.660e+03,1.408e+03,2.922e+03,5.989e+03
148.2,4.535e+02,3.810e+02,1.474e+03,2.309e+03
149.8,1.088e+02,1.311e+02,9.210e+02,1.161e+03
151.4,1.105e+02,1.179e+02,8.702e+02,1.099e+03
152.9,1.213e+02,1.147e+02,8.649e+02,1.101e+03
154.5,1.080e+02,1.090e+02,1.017e+03,1.234e+03
156.1,1.027e+02,1.074e+02,1.134e+03,1.344e+03
157.7,1.487e+02,1.432e+02,1.050e+03,1.342e+03
159.3,1.731e+02,1.928e+02,8.376e+02,1.203e+03
160.9,1.348e+02,1.994e+02,5.112e+02,8.453e+02
162.5,2.121e+02,1.759e+02,3.956e+02,7.835e+02
164.1,3.621e+02,1.964e+02,4.122e+02,9.707e+02
165.7,4.633e+02,2.106e+02,3.987e+02,1.073e+03
167.3,6.022e+02,2.231e+02,4.288e+02,1.254e+03
168.9,7.314e+02,2.300e+02,4.368e+02,1.398e+03
170.5,9.546e+02,2.423e+02,4.363e+02,1.633e+03
172.1,1.218e+03,2.268e+02,4.283e+02,1.873e+03
173.7,1.491e+03,2.049e+02,5.057e+02,2.202e+03
175.2,2.050e+03,2.005e+02,6.099e+02,2.861e+03
176.8,2.556e+03,2.096e+02,5.110e+02,3.277e+03
178.4,3.331e+03,1.925e+02,4.495e+02,3.973e+03
180.0,4.410e+03,1.822e+02,4.588e+02,5.051e+03
181.6,5.594e+03,1.836e+02,4.817e+02,6.259e+03
183.2,7.009e+03,1.840e+02,6.077e+02,7.801e+03
